Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,Seek Your Love,尋找你的愛,เกมล่า ท้ารัก,Trốn tìm Tình yêu,Seek Your Love,SeekYourLove,BuscaTuAmor,НайдиСвоюЛюбовь,Chechezvotreamour,Seekyourlove,Aşkını Ara,Seekyourlove,Seekyourlove,ابحث عن حبك,seekyourlove,seekyourlove,SeekYourLove
GAME_DESCRIPTION,Seek others who hide in the valentine park.,尋找其他躲在情人公園的人,ทุกซอกทุกมุมของสวนวาเลนไทน์มีคนซ่อนอยู่ ค้นหาและกำจัดพวกเขาทั้งหมดเพื่อชนะเกมรักครั้งนี้!,Tìm kiếm những người khác trốn trong Công viên Valentine.,Carilah pemain yang bersembunyi di taman valentine!,Encontre quem está se escondendo no parque.,Busca a quienes se esconden en el Parque Valentín,Обнаружь Прячущегося в парке ДСВ,Cherchez les autres qui se cachent dans le parc de la Saint-Valentin.,Suchen Sie andere. die sich im Valentine Park verstecken.,Aşıklar Parkında saklananları ara.,वेलेंटाइन पार्क में छिपने वाले अन्य लोगों की तलाश करें।,Căutați alții care se ascund în parcul Valentine.,ابحث عن الآخرين الذين يختبئون في حديقة الحب.,Valentine Park တွင်ပုန်းအောင်းနေသောအခြားသူများကိုရှာဖွေပါ။,ویلنٹائن پارک میں چھپنے والے دوسروں کی تلاش کریں۔,ভ্যালেন্টাইন পার্কে লুকিয়ে থাকা অন্যদের সন্ধান করুন।
GAME_TIPS_SKILLSCANUSE,Locating hider in the area,正在定位周圍區域的躲藏者,กำลังหาตำแหน่งของผู้ซ่อน,Định vị người đi trốn trong phạm vi,Mencari hider di area,Localizar oportunistas na área,Localizando Escondidos en el área,Обнаружение Прячущегося...,Localiser le cacheur dans la région,Hider in der Gegend finden,Bölgedeki saklananı bul,क्षेत्र में हाइडर का पता लगाना,Localizarea Hider în zonă,تحديد موقع المختبئ في المنطقة,the ရိယာ၌ hider တည်နေရာ,علاقے میں ہائڈر کا پتہ لگانا,এই এরিয়াতে হাইডারদের শনাক্ত করা হচ্ছে
GAME_TIPS_SKILLSCANEXPOSED,You are exposed by the seeker's scan,你已被掃描技能發現,ตำแหน่งของคุณถูกเปิดเผยโดยสกิลสแกนของผู้หา,Vị trí của bạn đã bị người đi kiếm quét thấy,Kamu terlihat karena hasil scan seeker,Jogadores escondidos são expostos pelo escaneador do rastreador,Estás expuesto por el escaneo del Buscador,Вы обнаружены с помощью сканера Водящего,Vous êtes exposé par le scan du chercheur,Sie werden vom Scan des Suchenden entlarvt,Arayanın taramasına maruz kalıyorsun,आप साधक के स्कैन से उजागर होते हैं,Ești expus de scanarea căutătorului,أنت مكشوف من خلال مسح الباحث,သငျသညျ Seeker ရဲ့စကင်ဖတ်ကြုံတွေ့ရနေကြသည်,آپ کو سالک کے اسکین سے بے نقاب کیا گیا ہے,আপনি সিকারের স্ক্যান দ্বারা এক্সপোজ হয়েছেন
BUFF_TIPS_HIDER_SPEED,Speed up for 15s,獲得移速加成15秒,เร่งความเร็ว 15 วินาที,Tăng tốc trong 15s,Lari cepat selama 15 detik,Acelerar por 15s,Acelerar por 15s,Ускорить на 15 секунд,Accélérer pendant 15s,Beschleunigen Sie 15s,15sn için hızlan,15 के लिए गति,Accelerează pentru 15 ani,تسريع 15 ثانية,15s များအတွက်အရှိန်,15s کے لئے تیز,15 সে. এর জন্য স্পিড-আপ
BUFF_TIPS_HIDER_SEE,Mark seekers for 15s,獲得標記搜尋者效果15秒,แสดงตำแหน่งของผู้หา 15 วินาที,Định vị trong 15s,Tandai seeker selama 15 detik,Marcar rastreadores por 15s,Marcar Buscadores por 15s,Отметить Водящих на 15 секунд,Marquer les chercheurs pour 15s,Markieren Sie Suchende für 15s,15sn boyunca arayanları işaretle,15 के लिए मार्क चाहने वालों को,Mark Seekers timp de 15 ani,تمييز الباحثين لمدة 15 ثانية,15s အတွက်ရှာရန်ရှာဖွေခြင်း,15s کے لئے متلاشیوں کو نشان زد کریں,15 সে. এর জন্য সিকারদের মার্ক করুন
BUFF_TIPS_HIDER_HP,Max hp increase 30,獲得最大血量加成30點,HP สูงสุดเพิ่ม 30 หน่วย,Tăng 30 máu tối đa,Maks. HP meningkat 30,Aumento de 30 na vida máxima,PV máx. aumenta 30,Увеличение Макс ХП на 30,Max HP augmente 30,Max HP erhöhen 30,Maksimum cp 30 artar,अधिकतम एचपी 30 वृद्धि,Max HP crește 30,زيادة الحد الأقصى لنقاط الصحة 30,Max HP တိုးမြှင့်,زیادہ سے زیادہ HP میں اضافہ 30,সর্বোচ্চ এইচপি বৃদ্ধি 30
BUFF_TIPS_HIDER_DECOY,Decoy skill charge increase 1,獲得分身技能使用次數1次,ชาร์จสกิลสร้างตัวหลอกเพิ่ม 1,Tăng lượt dùng kỹ năng ngụy trang lên 1,Charge skill umpan meningkat 1,Habilidade de camuflagem aumenta 1,Habilidad de camuflaje aumenta 1,Увеличение заряда навыка приманки на 1,Augmentation de charge de compétence de leurre 1,Ladung für Köder 1 Erhöhung 1,Yem becerisi kullanımı 1 artar,डिकॉय स्किल चार्ज वृद्धि 1,Creșterea încărcăturii de abilități de decorare 1,زيادة مهارة الخداع 1,decoy ကျွမ်းကျင်မှုက 2,ڈیکو ہنر چارج 1 میں اضافہ,ডেকয় স্কিল চার্জ বৃদ্ধি 1
BUFF_TIPS_SEEKER_SPEED,Speed up for 15s,獲得移速加成15秒,เร่งความเร็ว 15 วินาที,Tăng tốc trong 15s,Lari cepat selama 15 detik,Acelerar por 15s,Acelerar por 15s,Ускорить на 15 секунд,Accélérer pendant 15s,Beschleunigen Sie 15s,15sn için hızlan,15 के लिए गति,Accelerează pentru 15 ani,تسريع 15 ثانية,15s များအတွက်အရှိန်,15s کے لئے تیز,15 সে. এর জন্য স্পিড-আপ
BUFF_TIPS_SEEKER_DETECTION,Detect hider for 15s,獲得偵測效果15秒,ตรวจหาผู้ซ่อน 15 วินาที,Dò quét người đi trốn trong 15s,Tandai hider selama 15 detik,Detectar oportunistas por 15s,Detectar Escondidos por 15s,Обнаружение Прячущегося в течение 15 секунд,Détecter le cacheur pendant 15,Hider für 15s erkennen,15sn boyunca saklananı bul,15 के लिए HIDER का पता लगाएं,Detectați Hider pentru 15 ani,اكتشف المختبئ لمدة ​​15 ثانية,15s များအတွက် hider detect,15s کے لئے ہائڈر کا پتہ لگائیں,15 সে. এর জন্য হাইডার শনাক্ত করুন
