Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,StarAltar,星星祭壇,แท่นบูชาดวงดารา,Hái sao trốn tìm,StarAltar,StarAltar,Altar de Estrellas,Звездный Алтарь,Autel des étoiles,Staraltar,Yıldız Sunağı,शख्स,Staraltar,ملجأ النجم,,اسٹارالٹر,StarAltar
GAME_DESCRIPTION,Hide in the old village. Gather all the stars and avoid  seeker's search.,在老舊的村莊中躲避搜尋者的搜索並收集所有星星,ซ่อนตัวในหมู่บ้านเก่าแก่ หลบหลีกสายตาของผู้หา รวบรวมดวงดาวให้ครบเพื่อเปิดแท่นบูชา!,Ẩn nấp trong ngôi làng cổ đại. Nhặt hết tất cả ngôi sao và tránh khỏi phe đi tìm.,Sembunyi di desa tua. Kumpulkan semua bintang dan hindari Seeker.,,Escóndete en el antiguo pueblo. Reúne todas las estrellas y evita a los Buscadores.,Спрячься в старой деревне. Собирай все звезды и избегай Водящего,Cachez-vous dans le vieux village. Rassemblez toutes les étoiles et évitez la recherche du chercheur.,,Eski köyde saklan. Tüm yıldızları topla ve arayandan kaç.,पुराने गाँव में छिपो। सभी सितारों को इकट्ठा करें और साधक की खोज से बचें।,Ascundeți -vă în satul vechi. Adunați toate stelele și evitați căutarea căutătorului.,اختبئ في القرية القديمة. اجمع كل النجوم وتجنب بحث الباحث.,အဟောင်းရွာ၌ဝှက်။ ကြယ်အားလုံးကိုစုဆောင်းပြီးရှာသောရှာဖွေသူကိုရှာဖွေခြင်းကိုရှောင်ပါ။,پرانے گاؤں میں چھپائیں۔ تمام ستاروں کو جمع کریں اور سالک کی تلاش سے بچیں۔,পুরানো গ্রামে লুকান। সবগুলো তারকা সংগ্রহ করুন এবং সিকারদের অনুসন্ধান এড়িয়ে যান!
BUFF_TIPS_HIDER_SPEED,Speed up for 15s,獲得移速加成15秒,เร่งความเร็ว 15 วินาที,Tăng tốc trong 15s,Lari cepat selama 15 detik,Acelerar por 15s,Acelerar por 15s,Ускорить на 15 секунд,Accélérer pendant 15s,Beschleunigen Sie 15s,15sn için hızlan,15 के लिए गति,Accelerează pentru 15 ani,تسريع 15 ثانية,15s များအတွက်အရှိန်,15s کے لئے تیز,15 সে. এর জন্য স্পিড-আপ
BUFF_TIPS_HIDER_SEE,Mark seekers for 15s,獲得標記找尋者效果15s,แสดงตำแหน่งของผู้หา 15 วินาที,Đánh dấu vị trí phe tìm trong 15s,Tandai seeker selama 15 detik,Marcar rastreadores por 15s,Marcar Buscadores por 15s,Отметить Водящих на 15 секунд,Marquez les chercheurs pour 15s,Markieren Sie Suchende für 15s,15sn boyunca arayanları işaretle,15 के लिए मार्क चाहने वालों को,Mark Seekers timp de 15 ani,تمييز على الباحثين لمدة 15 ثانية,15s အတွက်ရှာရန်ရှာဖွေခြင်း,15s کے لئے متلاشیوں کو نشان زد کریں,15 সে. এর জন্য সিকারদের মার্ক করুন
BUFF_TIPS_HIDER_HP,Max hp increase 30,獲得最大血量加成30點,HP สูงสุดเพิ่ม 30 หน่วย,Tăng 30 máu tối đa,Maks. HP meningkat 30,Aumento de 30 na vida máxima,PV máx. aumenta 30,Увеличение Макс ХП на 30,Max HP augmente 30,Max HP erhöhen 30,Maksimum cp 30 artar,अधिकतम एचपी 30 वृद्धि,Max HP crește 30,زيادة الحد الاقصى لنقاط الصحة 30,Max HP တိုးမြှင့်,زیادہ سے زیادہ HP میں اضافہ 30,সর্বোচ্চ এইচপি বৃদ্ধি 30
BUFF_TIPS_HIDER_DECOY,Decoy skill charge increase 1,獲得分身技能使用次數1次,ชาร์จสกิลสร้างตัวหลอกเพิ่ม 1,Tăng lượt sử dụng ngụy trang lên 1,Charge skill umpan meningkat 1,Habilidade de camuflagem aumenta 1,Habilidad de camuflaje aumenta 1,Увеличение заряда навыка приманки на 1,Augmentation des charges de compétence de leurre 1,Ladung für Köder 1 Erhöhung 1,Yem becerisi kullanımı 1 artar,डिकॉय स्किल चार्ज वृद्धि 1,Creșterea încărcăturii de abilități de decorare 1,زيادة مهارة الخداع 1,decoy ကျွမ်းကျင်မှုက 2,ڈیکو ہنر چارج 1 میں اضافہ,ডেকয় স্কিল চার্জ বৃদ্ধি 1
BUFF_TIPS_SEEKER_SPEED,Speed up for 15s,獲得移速加成15秒,เร่งความเร็ว 15 วินาที,Tăng tốc trong 15s,Lari cepat selama 15 detik,Acelerar por 15s,Acelerar por 15s,Ускорить на 15 секунд,Accélérer pendant 15s,Beschleunigen Sie 15s,15sn için hızlan,15 के लिए गति,Accelerează pentru 15 ani,تسريع 15 ثانية,15s များအတွက်အရှိန်,15s کے لئے تیز,15 সে. এর জন্য স্পিড-আপ
BUFF_TIPS_SEEKER_DETECTION,Detect hider for 15s,獲得偵測效果15秒,ตรวจหาผู้ซ่อน 15 วินาที,Đánh dấu phe trốn trong 15s,Tandai hider selama 15 detik,Detectar oportunistas por 15s,Detectar Escondidos por 15s,Обнаружение Прячущегося в течение 15 секунд,Détecter le cacheur pendant 15,Hider für 15s erkennen,15sn boyunca saklananı bul,15 के लिए HIDER का पता लगाएं,Detectați Hider pentru 15 ani,اكتشف المختبئ لمدة ​​15 ثانية,15s များအတွက် hider detect,15s کے لئے ہائڈر کا پتہ لگائیں,15 সে. এর জন্য হাইডার শনাক্ত করুন
BUFF_TIPS_SEEKER_DAMAGE,Damage up 30%,獲得傷害加成30%,เพิ่มความเสียหาย 30%,Tăng sát thương lên 30%,Damage hingga 30%,Dano de até 30%,Hasta 30% de daño,Усилить урон на 30%,Dégâts 30%,Schäden Sie 30%,Hasar %30 artar,30% नुकसान,Daune până la 30%,الضرر يصل 30%,30% ကိုပျက်စီးစေ,30 ٪ تک نقصان,ড্যামেজ আপ 30%
BUFF_TIPS_SEEKER_AMMO,Receive 20 shotgun ammo,獲得霰彈槍子彈20發,รับกระสุนปืนลูกซอง 20 กระสุน,Nhận 20 khẩu súng ngắn,Menerima 20 amunisi senapan,Receba 20 munição de espingarda,Recibir 20 munición de escopeta,Получите 20 боеприпасов для дробовика,Recevoir 20 munitions de fusil de chasse,Erhalten Sie 20 Schrotflintenmunition,20 av tüfeği cephanesi al,20 शॉटगन बारूद प्राप्त करें,Primiți 20 de muniție cu pușcă,تلقي 20 ذخيرة بندقية,20 ShotGun Ammo ကိုလက်ခံရရှိသည်,20 شاٹگن بارود موصول کریں,20 শটগান গোলাবারুদ পান
