Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,Windmill,風車磨坊,กลลวงกังหันลม,Cối xay gió,Kincir Angin,Moinho de Vento,Molino,Ветряная мельница,Moulin à vent,Windmühle,Yel Değirmeni,विंडमिल,Moara de vant,الطاحونة,လေရဟတ်စက်,ونڈ مل,উইন্ডমিল
GAME_DESCRIPTION,Use the scan skill to mark hiders with locators!,使用掃描技能標記帶著定位器的躲藏者！,ใช้เครื่องระบุตำแหน่งสแกนหาผู้ซ่อน ตามล่ากำจัดพวกเขาให้หมดเพื่อชนะศึกนี้!,Sử dụng kỹ năng dò tìm để đánh dấu vị trí phe trốn,Gunakan skill scan untuk menandai Hider dengan locator!,Use a habiliadde de escanear para marcar a localização dos oportunistas!,¡Usa la habilidad de escaneo para marcar los escondites con localizadores!,"Используй навык сканирования, чтобы отметить Прячущихся c локаторами!",Utilisez la compétence de scan pour marquer les cacheurs avec les localisateurs!,"Verwenden Sie die Scan -Fähigkeit, um sich mit Locators Hinnen zu markieren!",Saklananları bulucuyla işaretlemek için tarama becerisini kullan!,लोकेटर के साथ Hiders को चिह्नित करने के लिए स्कैन कौशल का उपयोग करें!,Folosiți abilitatea de scanare pentru a marca ascunzătorii cu localizatorii!,استخدم مهارة المسح الضوئي لتمييز المختبئين مع المحددات!,တည်နေရာများနှင့်အတူ HIMERS Mark ဖို့ Scan ကျွမ်းကျင်မှုကိုသုံးပါ!,لوکیٹرز کے ساتھ ہائڈرز کو نشان زد کرنے کے لئے اسکین کی مہارت کا استعمال کریں!,লোকেটারগুলির সাথে হাইডারগুলি চিহ্নিত করতে স্ক্যান দক্ষতা ব্যবহার করুন!
GAME_HidingTips,Waiting for hider finish hiding,等待躲藏者躲藏,กรุณารอผู้เล่นซ่อนตัวก่อน,Đang đợi phe trốn tìm chỗ nấp,Menunggu Hider selesai bersembunyi,Esperando oportunista parar de se esconder,Esperando que los Escondidos dejen de ocultarse,"Прячущийся почти спрятался, ожидаем.",En attendant que le cacheur finisse de se cacher,"Warten auf Hider, der sich versteckt",Oyuncuların saklanması bekleniyor,हाइडर फिनिश छिपने की प्रतीक्षा कर रहा है,Așteptăm ascunderea finisajului Hider,في انتظار المختبئ,hider finish ပုန်းအောင်းရန်စောင့်ဆိုင်း,چھپنے کے لئے چھپنے کے لئے انتظار کر رہے ہیں,হাইডারের লুকানো শেষ হবার অপেক্ষায়
Locator_FeverTips,Mark interval shortened,標記間隔縮短,ระยะเวลาหาตำแหน่งลดลง,Thời gian đánh dấu bị rút ngắn,Cooldown menandai dipersingkat,Diminuição no intervalo de marcação,Disminución de intervalo de marcación,Интервал отметки сокращен,Intervalle de marque raccourci,Markierung von Intervall verkürzt,İşaretleme aralığı kısaldı,मार्क अंतराल छोटा किया गया,Intervalul de marcare scurtat,تمييز على فاصل تقصير,Mark Interval တို,مارک وقفہ مختصر ہوگیا,মার্ক ইন্টারভাল সংক্ষিপ্ত হয়েছে
Locator_TriggerText,Close Locator,關閉定位器,ปิดเครื่องระบุตำแหน่ง,Đóng bộ định vị,Tutup Locator,Fechar localizador,Cerrar localizador,Закрыть локатор,Fermer le localisateur,Locator schließen,Bulucuyu Kapat,बंद लोकेटर,Închideți localizator,إغلاق المحدد,Close Locator,بند لوکیٹر,লোকেটার বন্ধ করুন
Locator_NoLocatorWarning,All locators are closed! No longer showing hider locations!,所有定位器已關閉！不再顯示躲藏者位置！,เครื่องระบุตำแหน่งทั้งหมดถูกปิดแล้ว! จะไม่แสดงตำแหน่งของผู้ซ่อนอีกต่อไป!,Tất cả bộ định vị đã đóng! Đã ngừng hiển thị vị trí phe trốn!,Semua Locator tutup! Tidak lagi menunjukkan lokasi hider!,Todos os localizadores estão fechados! As localizações dos oportunistas são estão sendo mais exibidas!,¡Todos los localizadores están cerrados! ¡Las ubicaciones de los Escondidos ya no se muestran!,Все локаторы закрыты! Больше не показывают местоположения Прячущихся!,Tous les localisateurs sont fermés! Ne montrent plus d'emplacements du cacheur!,Alle Locators sind geschlossen! Hider -Standorte nicht mehr!,Tüm bulucular kapalı! Artık saklananların yeri gösterilmiyor!,सभी लोकेटर बंद हैं! अब Hider स्थान नहीं दिखा रहा है!,Toți localizatorii sunt închise! Nu mai arată locații Hider!,كل المحددات مغلقة! لم يعد إظهار المواقع للمختبئين!,တည်နေရာများအားလုံးပိတ်ထားသည်။ Hider နေရာများမပြတော့ပါ။,تمام لوکیٹر بند ہیں! اب پوشیدہ مقامات کو نہیں دکھا رہا!,সমস্ত লোকেটার বন্ধ! আর হাইডার অবস্থান দেখাচ্ছে না!
Locator_LocatorMarkTips,Your location has been revealed!,你的位置已暴露！,ตำแหน่งของคุณถูกเปิดเผย!,Vị trí của bạn đã bị bại lộ!,Lokasi kamu terungkap!,Sua localização foi revelada!,¡Tu ubicación ha sido revelada!,Твое местоположение было раскрыто!,Votre emplacement a été révélé!,Ihr Standort wurde enthüllt!,Açığa çıktın!,आपका स्थान सामने आया है!,Locația dvs. a fost dezvăluită!,تم الكشف عن موقعك!,သင်၏တည်နေရာကိုထုတ်ဖော်ပြသခဲ့သည်။,آپ کا مقام انکشاف ہوا ہے!,আপনার অবস্থান প্রকাশিত হয়েছে!
Locator_MarkCountDownTips,Mark hiders within:{0},標記躲藏者倒數計時：{0},แสดงตำแหน่งของผู้ซ่อนใน: {0},Đánh dấu người trốn trong phạm vi: {0},Tandai Hider dalam: {0},Marcar oportunistas dentro de {0},Marcar Escondidos en: {0},Отметь Прячущихся внутри: {0},Marquez les cacheurs dans: {0},Markieren Sie es in: {0},{0}sn içinde saklananları işaretle,मार्क हाइडर्स के भीतर: {0},Mark ascunde în interior: {0},تمييز على المختبئين ضمن:{0},အတွင်း၌ Hark Hids: {0},اس کے اندر اندر نشان زد کریں: {0},হাইডারদের মধ্যে চিহ্নিত করুন: {0}
Locator_CloseLocatorTips,Locator is closed!,定位器已關閉！,ปิดเครื่องระบุตำแหน่งแล้ว!,Bộ định vị dã đóng!,Locator tutup!,O localizador está fechado!,¡El localizador está cerrado!,Локатор закрыт!,Le localisateur est fermé!,Locator ist geschlossen!,Bulucu kapandı!,लोकेटर बंद है!,Localizatorul este închis!,محدد موقعه مغلق!,တည်နေရာပိတ်လိုက်သည်!,لوکیٹر بند ہے!,লোকেটার বন্ধ!
Locator_HiderRoundBeginTips,Find the beam to deactivate the locator,找到光柱來關閉定位器,คอยมองหาลำแสงไว้เพื่อเข้าไปปิดเครื่องระบุตำแหน่ง,Đi tìm thanh gạt để vô hiệu bộ định vị,Temukan cahaya untuk menutup Locator,Encontre o feixe para desativar o localizador,Encuentra el haz de luz para desactivar el localizador,"Найди луч, чтобы деактивировать локатор",Trouvez le faisceau pour désactiver le localisateur,"Finden Sie den Strahl, um den Locator zu deaktivieren",Bulucuyu devre dışı bırakmak için ışını bul,लोकेटर को निष्क्रिय करने के लिए बीम का पता लगाएं,Găsiți fasciculul pentru a dezactiva localizatorul,ابحث عن الشعاع لإلغاء تنشيط المحدد,တည်နေရာကိုပိတ်ထားရန်ရောင်ခြည်ကိုရှာပါ,لوکیٹر کو غیر فعال کرنے کے لئے بیم تلاش کریں,লোকেটারটি নিষ্ক্রিয় করতে বীমটাকে খুঁজে বের করুন
Locator_TriggerMoveTips,The beam has moved!,光柱已移動！,ลำแสงย้ายที่แล้ว!,Chùm tia đã di chuyển!,Cahaya telah bergerak!,O feixe se moveu!,¡El haz de luz se ha movido!,Луч начал двигаться!,Le faisceau a bougé!,Der Strahl hat sich bewegt!,Kiriş hareket etti!,बीम चला गया है!,Fasciculul s -a mutat!,لقد تحركت الشعاع!,အဆိုပါရောင်ခြည်ပြောင်းရွှေ့ခဲ့သည်!,بیم منتقل ہوگیا ہے!,বীমটা সরে গেছে!
Locator_SeekerRoundBeginTips,Use the scan skill to mark hiders!,使用掃描技能標記躲藏者！,ใช้สกิลสแกนเพื่อหาตำแหน่งของผู้ซ่อน!,Dùng kỹ năng quét để đánh dấu phe trốn!,Gunakan skill scan untuk menandai Hider!,Use a habiliadde de escanear para marcar os oportunistas!,¡Usa la habilidad de escaneo para marcar los Escondidos!,"Используй навык сканирования, чтобы отметить Прячущихся!",Utilisez la compétence de scan pour marquer les cacheurs!,"Verwenden Sie die Scan -Fähigkeit, um Hiders zu markieren!",Saklananları işaretlemek için tarama becerisini kullan!,Hiders को चिह्नित करने के लिए स्कैन कौशल का उपयोग करें!,Folosiți abilitatea de scanare pentru a marca ascunși!,استخدم مهارة المسح الضوئي لتمييز المختبئين!,HIDERS ကို Mark လုပ်ရန် Scan ကျွမ်းကျင်မှုကိုသုံးပါ။,ہائڈرز کو نشان زد کرنے کے لئے اسکین کی مہارت کا استعمال کریں!,হাইডার্স চিহ্নিত করতে স্ক্যান দক্ষতা ব্যবহার করুন!
Locator_ScanMarkTips,You have been marked by seekers!,你已被搜尋者標記！,ผู้หาเจอตำแหน่งของคุณแล้ว!,Bạn đã bị phe tìm đánh dấu!,Kamu telah ditandai oleh Hider!,Você foi marcado pelos rastreadores!,¡Has sido marcado por los Buscadores!,Ты был отмечен Водящими!,Vous avez été marqué par des chercheurs!,Sie wurden von Suchenden gekennzeichnet!,Arayanlar tarafından işaretlendin!,आप साधकों द्वारा चिह्नित किए गए हैं!,Ai fost marcat de căutători!,لقد تميزت بالباحثين!,သငျသညျကိုရှာဖွေသူများကမှတ်သားခဲ့ကြသည်!,آپ کو متلاشیوں نے نشان زد کیا ہے!,আপনাকে সিকারদের দ্বারা মার্ক করা হয়েছে!
Locator_UI_CloseLocatorText,Close Locator,關閉定位器,ปิดเครื่อง,Đã đóng định vị,Tutup Locator,Fechar localizador,Cerrar localizador,Закрыть локатор,Fermer le localisateur,Locator schließen,Bulucuyu Kapat,बंद लोकेटर,Închideți localizator,إغلاق المحدد,Close Locator,بند لوکیٹر,লোকেটার বন্ধ করুন
Locator_UI_LocatorStatusText,Locator Status:On,定位器狀態：開,สถานะเครื่องระบุตำแหน่ง: ทำงาน,Trạng thái định vị: BẬT,Status Locator: Aktif,Status do localizador: ativo,Estado del localizador: Activo,Статус локатора: вкл,État du localisateur: Activé,Locator Status: auf,Bulucu Durumu: Açık,लोकेटर की स्थिति: पर,Starea localizatorului: ON,حالة المحدد: تشغيل,တည်နေရာ status: အပေါ်,لوکیٹر کی حیثیت: آن,লোকেটার স্ট্যাটাস: চালু
BlockExitUI_BlockText,Waiting,等待中,กำลังรอ,Đang chờ,Menunggu,Esperando,Espera,Ожидание...,En attendant,Warten,Bekleniyor,इंतज़ार में,Aşteptare,في انتظار,စောင့်သော,انتظار کرنا,অপেক্ষমান
GAME_Para_BulletQuantity,Bullet quantity,子彈數量,ปริมาณกระสุน,Số lượng đạn,Jumlah peluru,Quantidade de bala,Cantidad de bala,Количество пули,Quantité de balles,Kugel,Mermi miktarı,बुलेट मात्रा,Cantitatea glonțului,كمية الرصاصة,ကျည်ဆံအရေအတွက်,گولی کی مقدار,বুলেট পরিমাণ
GAME_Para_HiderMaxHP,Hider's Max HP,躲藏者的最大血量,HID MAX HP ของ HIDER,Hider's Max HP,Max HP Hider,Max HP de Hider,Max HP de Hider,Hider's Max HP,Hider's Max HP,Hiders Max HP,Hider's Max HP,Hider's Max HP,HIDER MAX HP,Max HP's Hider,Hider ရဲ့ Max HP,ہائڈر کا میکس ایچ پی,হাইডারের সর্বোচ্চ এইচপি
GAME_Para_SystemScanInterval,System scan interval,系統掃描間隔,ช่วงเวลาสแกนระบบ,Khoảng thời gian quét hệ thống,Interval pemindaian sistem,Intervalo de varredura do sistema,Intervalo de escaneo del sistema,Интервал сканирования системы,Intervalle de balayage du système,Systemscan -Intervall,Sistem tarama aralığı,तंत्र स्कैन अंतराल,Interval de scanare a sistemului,الفاصل الزمني لفحص النظام,System Scan Interval,سسٹم اسکین وقفہ,সিস্টেম স্ক্যান ব্যবধান
GAME_Para_ScanSkillCD,Scan skill cooldown(seconds),掃描技能冷卻時間（秒）,สแกนทักษะคูลดาวน์ (วินาที),Thời gian hồi chiêu kỹ năng quét (giây),COOLDOWN SCAN SHREAM COOLDOWN (detik),Skill Skill recarregada (segundos),Escaneo de habilidades de reiujo (segundos),Установка навыков сканирования (секунды),SCAN SCHIENS COLADONWOWN (SECONDES),Scan -Fähigkeitsabklingzeit (Sekunden),Scan Beceri bekleme süresi (saniye),स्कैन स्किल कोल्डाउन (सेकंड),Scanarea de compensare a abilităților (secunde),مسح مهارة التباطؤ (ثواني),Scan Skill Cooldown (စက္ကန့်),اسکین ہنر کوولڈون (سیکنڈ),স্ক্যান দক্ষতা কোলডাউন (সেকেন্ড)
GAME_Para_ScanSkillRechargeTiems,Scan skill recharge times,掃描技能充能次數,สแกน Skill Skill Times,Quét thời gian sạc lại,Memindai waktu pengisian keterampilan,VENÇÃO DE RECARGA DE Habilidades de varredura,Tiempos de recarga de habilidades de escaneo,Время перезарядки сканирования,Temps de recharge des compétences de numérisation,SCAN -Fähigkeiten lädt die Zeiten ab,Beceri Yeniden Şarj Süreleri Tarama,स्कैन कौशल पुनर्भरण समय,Scanarea abilităților de reîncărcare a abilităților,مسح مهارات إعادة شحن أوقات الشحن,Scan Skily Colpharge Times,مہارت کے اوقات کو اسکین کریں,স্ক্যান দক্ষতা রিচার্জ সময়
GAME_Para_ScanSkillRange,Scan skill range,掃描技能範圍,ช่วงทักษะการสแกน,Quét phạm vi kỹ năng,Pindai keterampilan,Excesso de habilidade,Gama de habilidades de escaneo,Диапазон сканирования навыков,Gamme de compétences de balayage,Scan -Fähigkeitsbereich,Beceri Aralığı Tarama,स्कैन कौशल सीमा,Gama de abilități de scanare,نطاق مهارة المسح الضوئي,scan ကျွမ်းကျင်မှုအကွာအဝေး,مہارت کی حد کو اسکین کریں,স্ক্যান দক্ষতার পরিসীমা
GAME_Para_MarkedSlowDown,Slowing effect when marked,被標記後的減速效果,เอฟเฟกต์ชะลอตัวเมื่อทำเครื่องหมาย,Hiệu quả chậm lại khi được đánh dấu,Efek memperlambat saat ditandai,Efeito de desaceleração quando marcado,Efecto de desaceleración cuando se marca,Замедление эффекта при отмечении,Ralentissement de l'effet lorsqu'il est marqué,Verlangsamungseffekt bei markiert,İşaretlendiğinde yavaşlama etkisi,चिह्नित होने पर धीमा प्रभाव,Încetinirea efectului atunci când este marcat,تباطؤ التأثير عند وضع علامة عليه,မှတ်သားသောအခါနှေးကွေးသောအကျိုးသက်ရောက်မှု,نشان زد ہونے پر اثر سست,চিহ্নিত হলে ধীরগতির প্রভাব
Locator_UseScanSkillTips,Locating hider in the area,正在定位周圍區域的躲藏者,กำลังหาตำแหน่งของผู้ซ่อน,Định vị người đi trốn trong phạm vi,Mencari hider di area,Localizar oportunistas na área,Localizando Escondidos en el área,Обнаружение Прячущегося...,Localiser le cacheur dans la région,Hider in der Gegend finden,Bölgedeki saklananı bul,क्षेत्र में हाइडर का पता लगाना,Localizarea Hider în zonă,تحديد موقع المختبئ في المنطقة,the ရိယာ၌ hider တည်နေရာ,علاقے میں ہائڈر کا پتہ لگانا,এই এরিয়াতে হাইডারদের শনাক্ত করা হচ্ছে
